Number,Race,Race Grouping,Gender,Age,In Custody/Community,Supervision Type,Jurisdiction,Sentence Type,Aggregate Sentence Length,Institutional Security Level,Province,Location Type,Offender Security Level,Dynamic/Need,Static/Risk,Reintegration Potential,Motivation,Major Offence Group,Religion
A879,WHITE,Non Aboriginal,MALE,42,Community,DP,FEDERAL,DETERMINATE,913,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,ROBBERY,NONE
A880,WHITE,Non Aboriginal,MALE,53,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A881,METIS,Aboriginal,MALE,34,Community,SR,FEDERAL,DETERMINATE,1278,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,MEDIUM,MEDIUM,OTHER CRIM.CODE,NATIVE SPIRITUA
A882,WHITE,Non Aboriginal,MALE,58,Community,SR,FEDERAL,DETERMINATE,10410,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,LOW,TRAF/IMP. DRUGS,ATHEIST
A883,WHITE,Non Aboriginal,MALE,29,Community,SR,FEDERAL,DETERMINATE,1430,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,WEAPON & EXPLOS,NONE
A884,WHITE,Non Aboriginal,MALE,53,Community,SR,FEDERAL,DETERMINATE,3287,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,MEDIUM,HIGH,IMPAIR. DRIVING,CATH NON-SPEC
A885,WHITE,Non Aboriginal,FEMALE,25,Community,SR,FEDERAL,DETERMINATE,761,,ALBERTA,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,
A886,NORTH AMERICAN,Aboriginal,MALE,31,Community,SR,FEDERAL,DETERMINATE,746,,SASKATCHEWAN,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,CRIM CODE TRAFF,
A887,WHITE,Non Aboriginal,MALE,44,Community,FP,FEDERAL,DETERMINATE,730,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,HIGH,MAJOR ASSAULT,NONE
A888,WHITE,Non Aboriginal,FEMALE,47,Community,SR,FEDERAL,DETERMINATE,731,,ONTARIO,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,HIGH,POS.STOLEN PROP,CATHOLIC - ROMA
A889,ARAB/WEST ASIAN,Non Aboriginal,FEMALE,24,Community,DP,FEDERAL,DETERMINATE,2844,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,TRAF/IMP. DRUGS,CATHOLIC - ROMA
A890,WHITE,Non Aboriginal,MALE,57,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,
A891,NORTH AMERICAN,Aboriginal,MALE,34,Community,DP,FEDERAL,DETERMINATE,891,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,HIGH,HIGH,LOW,MEDIUM,THEFT,CHRI NON SPEC
A892,WHITE,Non Aboriginal,MALE,50,Community,DP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,NOT STATED
A893,S. E. ASIAN,Non Aboriginal,MALE,38,Community,SR,FEDERAL,DETERMINATE,731,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,BUDDHIST
A894,WHITE,Non Aboriginal,FEMALE,88,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A895,WHITE,Non Aboriginal,MALE,23,Community,DP,FEDERAL,DETERMINATE,1280,,ONTARIO,PAROLE OFFICE,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,TRAF/IMP. DRUGS,CATHOLIC - ROMA
A896,WHITE,Non Aboriginal,MALE,51,Community,SR,FEDERAL,DETERMINATE,2192,,QUEBEC,COMMUNITY CORRE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,SEXUAL ASSAULT,CATH NON-SPEC
A897,WHITE,Non Aboriginal,MALE,60,Community,FP,FEDERAL,DETERMINATE,2145,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,MEDIUM,TRAF/IMP. DRUGS,CATHOLIC - ROMA
A898,WHITE,Non Aboriginal,MALE,25,Community,SR,FEDERAL,DETERMINATE,1644,,QUEBEC,PAROLE OFFICE,MAXIMUM,HIGH,LOW,MEDIUM,MEDIUM,ROBBERY,CATH NON-SPEC
A899,WHITE,Non Aboriginal,MALE,47,Community,LTSO,FEDERAL,DETERMINATE,731,,QUEBEC,COMMUNITY CORRE,,HIGH,HIGH,LOW,MEDIUM,OTHER CRIM.CODE,MUSLIM
A900,WHITE,Non Aboriginal,MALE,23,Community,SR,FEDERAL,DETERMINATE,851,,QUEBEC,PAROLE OFFICE,MAXIMUM,HIGH,HIGH,LOW,LOW,MAJOR ASSAULT,CATHOLIC - GREE
A901,WHITE,Non Aboriginal,MALE,42,Community,SR,FEDERAL,DETERMINATE,731,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,MEDIUM,TRAF/IMP. DRUGS,CATH NON-SPEC
A902,WHITE,Non Aboriginal,MALE,29,Community,SR,FEDERAL,DETERMINATE,820,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MAJOR ASSAULT,CATH NON-SPEC
A903,WHITE,Non Aboriginal,MALE,27,Community,SR,FEDERAL,DETERMINATE,731,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MAJOR ASSAULT,CATH NON-SPEC
A904,WHITE,Non Aboriginal,MALE,49,Community,SR,FEDERAL,DETERMINATE,761,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CATHOLIC - GREE
A905,NORTH AMERICAN,Aboriginal,MALE,51,Community,DP,FEDERAL,DETERMINATE,1280,,ALBERTA,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,HIGH,MEDIUM,SEXUAL ASSAULT,CATHOLIC - ROMA
A906,NORTH AMERICAN,Aboriginal,FEMALE,34,Community,FP,PROVINCIAL,DETERMINATE,701,,ALBERTA,PAROLE OFFICE,,MEDIUM,MEDIUM,MEDIUM,HIGH,MAJOR ASSAULT,
A907,WHITE,Non Aboriginal,MALE,41,Community,DP,FEDERAL,DETERMINATE,912,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,TRAF/IMP. DRUGS,NONE
A908,WHITE,Non Aboriginal,MALE,46,Community,SR,FEDERAL,DETERMINATE,7305,,NOVA SCOTIA,COMMUNITY CORRE,MEDIUM,HIGH,HIGH,LOW,MEDIUM,SEXUAL ASSAULT,NOT STATED
A909,OTHER,Non Aboriginal,MALE,29,Community,FP,FEDERAL,DETERMINATE,915,,NOVA SCOTIA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,BREAK AND ENTER,NOT STATED
A910,WHITE,Non Aboriginal,MALE,42,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A911,WHITE,Non Aboriginal,MALE,27,Community,SR,FEDERAL,DETERMINATE,914,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,SEXUAL ASSAULT,CATHOLIC - ROMA
A912,NORTH AMERICAN,Aboriginal,MALE,45,Community,SR,FEDERAL,DETERMINATE,4383,,ONTARIO,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,ROBBERY,CATHOLIC - ROMA
A913,BLACK,Non Aboriginal,MALE,32,Community,SR,FEDERAL,DETERMINATE,1188,,ONTARIO,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MORALS-SEXUAL,CHRISTIAN REFOR
A914,FILIPINO,Non Aboriginal,MALE,27,Community,SR,FEDERAL,DETERMINATE,1476,,MANITOBA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,SEXUAL ASSAULT,CATHOLIC - ROMA
A915,WHITE,Non Aboriginal,MALE,23,Community,SR,FEDERAL,DETERMINATE,1115,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,NONE
A916,WHITE,Non Aboriginal,MALE,44,Community,SR,FEDERAL,DETERMINATE,1047,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,CRIM CODE TRAFF,
A917,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A918,WHITE,Non Aboriginal,MALE,26,Community,SR,FEDERAL,DETERMINATE,1324,,QUEBEC,PAROLE OFFICE,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,WEAPON & EXPLOS,CATH NON-SPEC
A919,WHITE,Non Aboriginal,MALE,68,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A920,WHITE,Non Aboriginal,MALE,38,Community,SR,FEDERAL,DETERMINATE,4788,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,ATTEMPT. MURDER,CATH NON-SPEC
A921,WHITE,Non Aboriginal,MALE,86,Community,SR,FEDERAL,DETERMINATE,1522,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,MEDIUM,SEXUAL ASSAULT,CATH NON-SPEC
A922,EURO.-SOUTHERN,Non Aboriginal,FEMALE,39,Community,FP,FEDERAL,DETERMINATE,2192,,QUEBEC,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,ATTEMPT. MURDER,GREEK ORTHODOX
A923,WHITE,Non Aboriginal,MALE,52,Community,SR,FEDERAL,DETERMINATE,973,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CATH NON-SPEC
A924,ASIATIC,Non Aboriginal,MALE,47,Community,FP,FEDERAL,DETERMINATE,1279,,ALBERTA,PAROLE OFFICE,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,BUDDHIST
A925,METIS,Aboriginal,MALE,30,Community,FP,FEDERAL,DETERMINATE,1888,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,ROBBERY,CATHOLIC - ROMA
A926,WHITE,Non Aboriginal,MALE,44,Community,SR,FEDERAL,DETERMINATE,1307,,QUEBEC,PAROLE OFFICE,MAXIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CATH NON-SPEC
A927,NORTH AMERICAN,Aboriginal,MALE,40,Community,DP,FEDERAL,DETERMINATE,1067,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,HIGH,HIGH,HIGH,CRIM CODE TRAFF,CATH NON-SPEC
A928,METIS,Aboriginal,FEMALE,24,Community,SR,FEDERAL,DETERMINATE,731,,ALBERTA,PAROLE OFFICE,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,
A929,WHITE,Non Aboriginal,MALE,78,Community,FP,FEDERAL,INDETERMINATE,0,,ALBERTA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,ATTEMPT. MURDER,
A930,NORTH AMERICAN,Aboriginal,MALE,21,Community,SR,FEDERAL,DETERMINATE,1096,,SASKATCHEWAN,PAROLE OFFICE,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,ROBBERY,
A931,WHITE,Non Aboriginal,FEMALE,52,Community,DP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE SUB-OFFI,MINIMUM,MEDIUM,LOW,MEDIUM,MEDIUM,HOMIC & RELATED,OTHER
A932,WHITE,Non Aboriginal,MALE,58,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A933,NORTH AMERICAN,Aboriginal,MALE,54,Community,FP,FEDERAL,INDETERMINATE,0,,NOVA SCOTIA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A934,WHITE,Non Aboriginal,MALE,50,Community,FP,FEDERAL,INDETERMINATE,0,,NEW BRUNSWICK,PAROLE SUB-OFFI,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A935,WHITE,Non Aboriginal,MALE,49,Community,FP,FEDERAL,INDETERMINATE,0,,NOVA SCOTIA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A936,WHITE,Non Aboriginal,MALE,63,Community,FP,FEDERAL,INDETERMINATE,0,,NOVA SCOTIA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A937,WHITE,Non Aboriginal,MALE,42,Community,FP,FEDERAL,INDETERMINATE,0,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,ANGLICAN(EPIS.
A938,WHITE,Non Aboriginal,MALE,55,Community,DP,FEDERAL,INDETERMINATE,0,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,HIGH,HIGH,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A939,WHITE,Non Aboriginal,MALE,53,Community,FP,FEDERAL,DETERMINATE,15369,,ALBERTA,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,ROBBERY,ANGLICAN(EPIS.
A940,WHITE,Non Aboriginal,MALE,70,Community,FP,FEDERAL,INDETERMINATE,0,,NEW BRUNSWICK,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,ATHEIST
A941,WHITE,Non Aboriginal,MALE,77,Community,FP,FEDERAL,INDETERMINATE,0,,NOVA SCOTIA,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,ANGLICAN(EPIS.
A942,WHITE,Non Aboriginal,MALE,56,Community,FP,FEDERAL,INDETERMINATE,0,,PRINCE EDWARD I,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A943,WHITE,Non Aboriginal,MALE,72,Community,FP,FEDERAL,INDETERMINATE,0,,NEW BRUNSWICK,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,
A944,WHITE,Non Aboriginal,MALE,65,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A945,WHITE,Non Aboriginal,MALE,71,Community,FP,FEDERAL,INDETERMINATE,0,,NOVA SCOTIA,PAROLE SUB-OFFI,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A946,WHITE,Non Aboriginal,MALE,43,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PENTECOSTAL (4
A947,WHITE,Non Aboriginal,MALE,66,Community,SR,FEDERAL,DETERMINATE,12053,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,TRAF/IMP. DRUGS,CATH NON-SPEC
A948,WHITE,Non Aboriginal,MALE,63,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,MEDIUM,HIGH,HOMIC & RELATED,CATH NON-SPEC
A949,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A950,WHITE,Non Aboriginal,MALE,65,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A951,WHITE,Non Aboriginal,MALE,75,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A952,WHITE,Non Aboriginal,MALE,63,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A953,WHITE,Non Aboriginal,MALE,72,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,
A954,WHITE,Non Aboriginal,MALE,70,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,ATTEMPT. MURDER,CATH NON-SPEC
A955,WHITE,Non Aboriginal,MALE,46,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A956,WHITE,Non Aboriginal,MALE,78,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A957,WHITE,Non Aboriginal,MALE,62,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,ATHEIST
A958,WHITE,Non Aboriginal,MALE,66,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A959,WHITE,Non Aboriginal,MALE,50,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,OTHER
A960,S. E. ASIAN,Non Aboriginal,MALE,50,Community,DP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,
A961,WHITE,Non Aboriginal,MALE,59,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A962,BLACK,Non Aboriginal,MALE,63,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A963,WHITE,Non Aboriginal,MALE,43,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A964,WHITE,Non Aboriginal,MALE,53,Community,SR,FEDERAL,DETERMINATE,10036,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,COMMON ASSAULT,CATH NON-SPEC
A965,WHITE,Non Aboriginal,MALE,53,Community,DP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A966,WHITE,Non Aboriginal,MALE,62,Community,SR,FEDERAL,DETERMINATE,14171,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,ROBBERY,CATH NON-SPEC
A967,WHITE,Non Aboriginal,MALE,49,Community,FP,FEDERAL,DETERMINATE,18337,,QUEBEC,PAROLE OFFICE,MINIMUM,HIGH,HIGH,HIGH,HIGH,ROBBERY,BUDDHIST
A968,WHITE,Non Aboriginal,MALE,76,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,MEDIUM,HIGH,SEXUAL ASSAULT,CATH NON-SPEC
A969,WHITE,Non Aboriginal,MALE,58,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,BUDDHIST
A970,WHITE,Non Aboriginal,MALE,64,Community,DP,FEDERAL,INDETERMINATE,0,,QUEBEC,COMMUNITY CORRE,MINIMUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A971,WHITE,Non Aboriginal,MALE,58,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A972,WHITE,Non Aboriginal,MALE,60,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A973,WHITE,Non Aboriginal,MALE,66,Community,FP,FEDERAL,DETERMINATE,9412,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,HIGH,HIGH,ATTEMPT. MURDER,CATH NON-SPEC
A974,WHITE,Non Aboriginal,MALE,43,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A975,WHITE,Non Aboriginal,MALE,68,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A976,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A977,WHITE,Non Aboriginal,MALE,80,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A978,WHITE,Non Aboriginal,MALE,52,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A979,WHITE,Non Aboriginal,MALE,67,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,MEDIUM,HIGH,HOMIC & RELATED,CATH NON-SPEC
A980,WHITE,Non Aboriginal,MALE,47,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A981,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,DETERMINATE,11097,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,MEDIUM,MEDIUM,HIGH,ATTEMPT. MURDER,CATH NON-SPEC
A982,WHITE,Non Aboriginal,MALE,69,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A983,WHITE,Non Aboriginal,MALE,81,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A984,WHITE,Non Aboriginal,MALE,71,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A985,WHITE,Non Aboriginal,MALE,59,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A986,WHITE,Non Aboriginal,MALE,59,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,LOW,HIGH,MEDIUM,HOMIC & RELATED,CATH NON-SPEC
A987,WHITE,Non Aboriginal,MALE,50,Community,FP,FEDERAL,INDETERMINATE,0,,NEW BRUNSWICK,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HOMIC & RELATED,CATHOLIC - ROMA
A988,METIS,Aboriginal,MALE,57,Community,FP,FEDERAL,INDETERMINATE,0,,QUEBEC,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HOMIC & RELATED,CATH NON-SPEC
A989,WHITE,Non Aboriginal,MALE,58,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A990,NORTH AMERICAN,Aboriginal,MALE,56,Community,FP,FEDERAL,INDETERMINATE,0,,ALBERTA,PAROLE OFFICE,MEDIUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATHOLIC - ROMA
A991,WHITE,Non Aboriginal,MALE,54,Community,FP,FEDERAL,INDETERMINATE,0,,BRITISH COLUMBI,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A992,WHITE,Non Aboriginal,MALE,54,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HOMIC & RELATED,CATHOLIC - ROMA
A993,WHITE,Non Aboriginal,MALE,78,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A994,WHITE,Non Aboriginal,MALE,52,Community,DP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,MEDIUM,MEDIUM,MEDIUM,HIGH,HOMIC & RELATED,CHRISTIAN REFOR
A995,WHITE,Non Aboriginal,MALE,67,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A996,WHITE,Non Aboriginal,MALE,44,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,PROT NON-SPEC
A997,WHITE,Non Aboriginal,MALE,58,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,CATH NON-SPEC
A998,WHITE,Non Aboriginal,MALE,57,Community,FP,FEDERAL,INDETERMINATE,0,,ONTARIO,PAROLE OFFICE,MINIMUM,LOW,LOW,HIGH,HIGH,HOMIC & RELATED,
